n_factors,reg,n_epochs,alpha,HR@10,NDCG@10,MAP@10
50,0.01,15,10,0.08002428658166363,0.0408564047365793,0.03046647672280294
50,0.01,15,40,0.0777170613236187,0.03970474078268698,0.02956312709704478
50,0.01,15,100,0.07856709168184578,0.040741236525941915,0.030652702134376788
50,0.01,30,10,0.0792956891317547,0.04049176296927936,0.03013888364627694
50,0.01,30,40,0.07808136004857316,0.04060355038924521,0.030524300063295418
50,0.01,30,100,0.07978142076502732,0.04126142847876985,0.030989944267002193
50,0.1,15,10,0.07899210686095932,0.040535905550639524,0.030215520147761
50,0.1,15,40,0.07868852459016394,0.04044502894549045,0.030265473377133145
50,0.1,15,100,0.07880995749848209,0.04076933948773957,0.030551232820363913
50,0.1,30,10,0.07941712204007285,0.04093931180025419,0.03059830479278432
50,0.1,30,40,0.07802064359441409,0.04043526828566169,0.030400065100565973
50,0.1,30,100,0.07783849423193685,0.04045550597137674,0.030458351077558395
100,0.01,15,10,0.07868852459016394,0.04065248913409274,0.03046028345055276
100,0.01,15,40,0.07887067395264116,0.04108106070288786,0.03102794099008167
100,0.01,15,100,0.07923497267759563,0.04047119355573686,0.03009899117167192
100,0.01,30,10,0.07893139040680024,0.04062177914065305,0.030398736818575668
100,0.01,30,40,0.07868852459016394,0.040479790040381256,0.030319343192900465
100,0.01,30,100,0.07965998785670916,0.04065061942659774,0.030342927716479548
100,0.1,15,10,0.07965998785670916,0.04086622105591615,0.03057081246850592
100,0.1,15,40,0.07911353976927747,0.040495984556376374,0.03016861767685846
100,0.1,15,100,0.08129933211900425,0.04139107619552657,0.030831050646319955
100,0.1,30,10,0.0769277474195507,0.03996579189129633,0.03014270430055491
100,0.1,30,40,0.0785063752276867,0.04068427182873679,0.0306127644158386
100,0.1,30,100,0.07923497267759563,0.041327615525515324,0.0311553779980827
