emb_dim,mlp_layers,lr,n_neg,HR@10,NDCG@10,MAP
32,"[64, 32, 16]",0.001,4,0.02,0.009092831584229662,0.006378875947137245
32,"[64, 32, 16]",0.001,8,0.02652439024390244,0.011459879803467462,0.007640302622439648
32,"[64, 32, 16]",0.005,4,0.026097560975609755,0.011632606255468265,0.00805104364423769
32,"[64, 32, 16]",0.005,8,0.020609756097560977,0.009486422875099232,0.006663606203894941
32,"[128, 64, 32]",0.001,4,0.023414634146341463,0.010190997169488264,0.006819855218510168
32,"[128, 64, 32]",0.001,8,0.03414634146341464,0.015066148993613674,0.010112779356322474
32,"[128, 64, 32]",0.005,4,0.025365853658536587,0.011324387893377745,0.007762767316641061
32,"[128, 64, 32]",0.005,8,0.023963414634146342,0.01057430390076303,0.007177737129328772
64,"[64, 32, 16]",0.001,4,0.02573170731707317,0.011463034751480304,0.007889089721254355
64,"[64, 32, 16]",0.001,8,0.03310975609756098,0.014523345800999192,0.009671875
64,"[64, 32, 16]",0.005,4,0.02103658536585366,0.00985013882460802,0.007020555220646385
64,"[64, 32, 16]",0.005,8,0.018353658536585365,0.008845227614388924,0.006375814613942305
64,"[128, 64, 32]",0.001,4,0.0351219512195122,0.015981105160616006,0.010944040929379882
64,"[128, 64, 32]",0.001,8,0.03219512195121951,0.014481835277714735,0.00998197527607208
64,"[128, 64, 32]",0.005,4,0.029146341463414636,0.012887348030815319,0.008847396455502624
64,"[128, 64, 32]",0.005,8,0.020182926829268293,0.009199152913869094,0.006447736916060983
