emb_dim,tower_layers,lr,n_neg,HR@10,NDCG@10,MAP
32,[64],0.001,4,0.02082574377656345,0.009308282856879267,0.006404645811576664
32,[64],0.001,8,0.02313296903460838,0.009602185324515624,0.006295304264129735
32,[64],0.005,4,0.02477231329690346,0.010777222211181837,0.007292369610967172
32,[64],0.005,8,0.026654523375834852,0.011462360101936698,0.007632430542052135
32,"[128, 64]",0.001,4,0.023861566484517305,0.010428903192813796,0.007107805982014271
32,"[128, 64]",0.001,8,0.02331511839708561,0.009648392610631192,0.006231109510136003
32,"[128, 64]",0.005,4,0.022950819672131147,0.009977659754667977,0.006709713241789542
32,"[128, 64]",0.005,8,0.024468731026108075,0.010724590200467059,0.007286243891448594
64,[64],0.001,4,0.025197328476017,0.010401645809205542,0.006786980553852073
64,[64],0.001,8,0.024833029751062538,0.010560056823239185,0.00701719765141829
64,[64],0.005,4,0.023679417122040074,0.009819415289094014,0.006358845489019757
64,[64],0.005,8,0.023436551305403765,0.01003237208984135,0.00667420984110143
64,"[128, 64]",0.001,4,0.025379477838494233,0.010884359199361017,0.007326632323026841
64,"[128, 64]",0.001,8,0.023497267759562842,0.010225561486145953,0.006840735237184304
64,"[128, 64]",0.005,4,0.023254401942926533,0.009534877541249622,0.00623442356951593
64,"[128, 64]",0.005,8,0.026350941105039466,0.011509926812566127,0.007896589703799327
