emb_dim,mlp_layers,lr,n_neg,HR@10,NDCG@10,MAP
32,"[64, 32, 16]",0.001,4,0.2709677419354839,0.0601457382163929,0.02656447192380988
32,"[64, 32, 16]",0.001,8,0.2967741935483871,0.061568799644741296,0.0232025960007915
32,"[64, 32, 16]",0.005,4,0.25161290322580643,0.055239394221774346,0.0234945637045021
32,"[64, 32, 16]",0.005,8,0.2860215053763441,0.058922305182451944,0.022961816720314308
32,"[128, 64, 32]",0.001,4,0.24516129032258063,0.059818363552859216,0.02568194032411724
32,"[128, 64, 32]",0.001,8,0.2946236559139785,0.07078402513980421,0.03077212430672217
32,"[128, 64, 32]",0.005,4,0.2817204301075269,0.06237509361128799,0.025141183738126762
32,"[128, 64, 32]",0.005,8,0.2817204301075269,0.06266734131816976,0.026392039985771373
64,"[64, 32, 16]",0.001,4,0.2817204301075269,0.059530932920965854,0.02313302945248218
64,"[64, 32, 16]",0.001,8,0.2838709677419355,0.06302588557287395,0.025704870546803805
64,"[64, 32, 16]",0.005,4,0.2860215053763441,0.06118416595138879,0.02438584002062292
64,"[64, 32, 16]",0.005,8,0.26881720430107525,0.06162975384792969,0.025549138328867686
64,"[128, 64, 32]",0.001,4,0.26666666666666666,0.060582676808539716,0.025613307945860603
64,"[128, 64, 32]",0.001,8,0.2924731182795699,0.06649861515573172,0.029619122780815032
64,"[128, 64, 32]",0.005,4,0.3032258064516129,0.062409455396808734,0.025484718762114524
64,"[128, 64, 32]",0.005,8,0.27741935483870966,0.062191209909228315,0.024827637412447517
