emb_dim,tower_layers,lr,n_neg,HR@10,NDCG@10
32,[64],0.001,4,0.2301,0.0469,
32,[64],0.001,8,0.3075,0.0716,
32,[64],0.005,4,0.2581,0.0544,
32,[64],0.005,8,0.2968,0.0591,
32,"[128, 64]",0.001,4,0.2344,0.0493,
32,"[128, 64]",0.001,8,0.2903,0.0653,
32,"[128, 64]",0.005,4,0.2409,0.0514,
32,"[128, 64]",0.005,8,0.2387,0.0517,
64,[64],0.001,4,0.2688,0.0556,
64,[64],0.001,8,0.3075,0.0677,
64,[64],0.005,4,0.2774,0.0550,
64,[64],0.005,8,0.3011,0.0624,
64,"[128, 64]",0.001,4,0.2473,0.0524,
64,"[128, 64]",0.001,8,0.3075,0.0669,
64,"[128, 64]",0.005,4,0.2344,0.0516,
64,"[128, 64]",0.005,8,0.2323,0.0511,
